,teamID,ACC,AGI,ARM,END,G,HND,INT,KAc,KDi,L,Name,OVR,PA,PBl,PF,Pancakes,Player,Pos,RBl,S,SPE,STR,Sacks Allowed,T,TCK,Team,W,WPct
0,1,1,40,1,60,10,20,55,1,1,10,"Bigboy11, Z.",53,330,50,254,0,"Bigboy11, Z.",C,55,1,35,65,1,0,35,BAL,4,0.28600000000000003
1,1,1,40,1,60,14,20,55,1,1,10,"Bigboy12, Z.",62,330,65,254,31,"Bigboy12, Z.",G,65,1,35,65,8,0,35,BAL,4,0.28600000000000003
2,1,1,40,1,60,14,20,55,1,1,10,"Bigboy1, Z.",62,330,65,254,30,"Bigboy1, Z.",G,65,1,35,65,9,0,35,BAL,4,0.28600000000000003
3,1,1,45,1,65,14,20,70,1,1,10,"Weal, J.",63,330,60,254,40,"Weal, J.",T,65,1,40,65,3,0,40,BAL,4,0.28600000000000003
4,1,1,50,1,65,14,74,60,1,1,10,"Tenzini, G.",65,330,30,254,22,"Tenzini, G.",TE,30,1,65,43,1,0,25,BAL,4,0.28600000000000003
5,1,1,50,1,61,14,22,70,1,1,10,"Sharpei, V.",72,330,71,254,32,"Sharpei, V.",T,71,1,50,71,8,0,35,BAL,4,0.28600000000000003
6,1,15,61,15,70,14,55,53,1,1,10,"Novel, L.",67,330,25,254,13,"Novel, L.",RB,25,1,72,66,0,0,20,BAL,4,0.28600000000000003
7,1,1,50,1,65,14,70,55,1,1,10,"Piper, W.",64,330,35,254,8,"Piper, W.",TE,35,1,55,52,0,0,30,BAL,4,0.28600000000000003
8,1,15,70,15,66,14,61,51,1,1,10,"Robinson, M.",71,330,27,254,10,"Robinson, M.",RB,22,1,73,67,2,0,20,BAL,4,0.28600000000000003
9,1,1,40,1,60,14,20,55,1,1,10,"Bigboy10, Z.",62,330,65,254,33,"Bigboy10, Z.",C,65,1,35,65,7,0,35,BAL,4,0.28600000000000003
10,2,17,63,17,66,14,60,63,3,3,6,"Nuck, B.",69,225,24,256,13,"Nuck, B.",RB,22,1,80,51,4,0,22,YKW,8,0.5710000000000001
11,2,1,60,1,70,14,70,60,1,1,6,"Maddox, R.",73,225,44,256,19,"Maddox, R.",TE,49,1,69,60,3,0,32,YKW,8,0.5710000000000001
12,2,1,45,1,60,5,20,60,1,1,6,"Brownce, B.",66,225,69,256,8,"Brownce, B.",T,68,1,35,68,1,0,35,YKW,8,0.5710000000000001
13,2,15,50,15,72,14,50,40,1,1,6,"Stats, J.",61,225,20,256,3,"Stats, J.",RB,25,1,70,70,0,0,20,YKW,8,0.5710000000000001
14,2,1,40,1,60,14,20,55,1,1,6,"Bigboy18, Z.",62,225,65,256,27,"Bigboy18, Z.",G,65,1,35,65,7,0,35,YKW,8,0.5710000000000001
15,2,15,65,15,65,13,70,40,1,1,6,"Tobin, T.",65,225,25,256,3,"Tobin, T.",RB,20,1,70,50,0,0,20,YKW,8,0.5710000000000001
16,2,1,45,1,65,6,71,55,1,1,6,"Sanderson, J.",63,225,30,256,3,"Sanderson, J.",TE,30,1,56,52,0,0,25,YKW,8,0.5710000000000001
17,2,1,46,1,65,14,60,57,1,1,6,"Larsendorf, R.",58,225,50,256,21,"Larsendorf, R.",TE,50,1,50,50,1,0,30,YKW,8,0.5710000000000001
18,2,1,45,1,60,14,22,70,1,1,6,"Ferguson, D.",70,225,71,256,45,"Ferguson, D.",T,73,1,35,70,9,0,35,YKW,8,0.5710000000000001
19,2,1,40,1,60,14,20,55,1,1,6,"Bigboy17, Z.",62,225,65,256,36,"Bigboy17, Z.",G,65,1,35,65,5,0,35,YKW,8,0.5710000000000001
20,2,1,51,1,65,14,22,68,1,1,6,"Floggity, J.",72,225,70,256,42,"Floggity, J.",C,70,1,41,80,8,0,37,YKW,8,0.5710000000000001
21,2,1,51,1,65,14,22,71,1,1,6,"Akselsen, M.",74,225,70,256,49,"Akselsen, M.",T,71,1,51,80,5,0,37,YKW,8,0.5710000000000001
22,3,1,50,1,70,14,70,50,1,1,6,"Hargrove, M.",63,253,35,250,10,"Hargrove, M.",TE,35,1,58,50,1,0,30,COL,8,0.5710000000000001
23,3,1,40,1,60,14,20,55,1,1,6,"Bigboy14, Z.",62,253,65,250,34,"Bigboy14, Z.",C,65,1,35,65,12,0,35,COL,8,0.5710000000000001
24,3,15,70,15,71,14,50,50,1,1,6,"O'Connell, K.",71,253,35,250,8,"O'Connell, K.",RB,27,1,76,70,0,0,22,COL,8,0.5710000000000001
25,3,1,50,1,70,13,73,50,1,1,6,"Gucci, R.",67,253,34,250,14,"Gucci, R.",TE,30,1,70,50,3,0,25,COL,8,0.5710000000000001
26,3,1,40,1,60,14,20,60,1,1,6,"Forthward, B.",62,253,55,250,27,"Forthward, B.",T,76,1,40,70,3,0,35,COL,8,0.5710000000000001
27,3,15,55,15,70,14,56,34,1,1,6,"Tiernan, L.",69,253,22,250,12,"Tiernan, L.",RB,27,1,80,80,1,0,22,COL,8,0.5710000000000001
28,3,1,42,1,67,14,22,66,1,1,6,"Rodriguez, B.",73,253,70,250,50,"Rodriguez, B.",T,75,1,51,75,6,0,37,COL,8,0.5710000000000001
29,3,1,50,1,70,12,70,52,1,1,6,"Weller, B.",62,253,32,250,1,"Weller, B.",TE,35,1,52,50,0,0,25,COL,8,0.5710000000000001
30,3,1,40,1,60,14,20,55,1,1,6,"Bigboy16, Z.",62,253,65,250,33,"Bigboy16, Z.",G,65,1,35,65,9,0,35,COL,8,0.5710000000000001
31,3,1,40,1,60,14,20,55,1,1,6,"Bigboy15, Z.",62,253,65,250,37,"Bigboy15, Z.",G,65,1,35,65,4,0,35,COL,8,0.5710000000000001
32,3,15,70,15,66,14,50,50,1,1,6,"Tweed, B.",73,253,22,250,7,"Tweed, B.",RB,22,1,83,70,2,0,22,COL,8,0.5710000000000001
33,4,15,70,15,66,14,42,32,1,1,5,"Mackworthy, R.",70,204,22,277,10,"Mackworthy, R.",RB,22,1,85,68,2,0,20,ARI,9,0.643
34,4,1,40,1,60,14,20,55,1,1,5,"Bigboy4, Z.",62,204,65,277,11,"Bigboy4, Z.",G,65,1,35,65,7,0,35,ARI,9,0.643
35,4,1,45,1,70,14,32,65,1,1,5,"Thomas, A.",68,204,70,277,44,"Thomas, A.",T,61,1,50,70,7,0,35,ARI,9,0.643
36,4,1,50,1,65,14,20,65,1,1,5,"Sharp, B.",64,204,60,277,26,"Sharp, B.",G,65,1,35,70,8,0,40,ARI,9,0.643
37,4,1,55,1,65,14,61,55,1,1,5,"Tkachuk, J.",62,204,54,277,15,"Tkachuk, J.",TE,54,1,55,52,0,0,30,ARI,9,0.643
38,4,15,70,15,70,14,60,30,1,1,5,"Durden, J.",70,204,20,277,8,"Durden, J.",RB,20,1,80,60,1,0,20,ARI,9,0.643
39,4,1,42,1,61,13,22,61,1,1,5,"Pest, T.",71,204,72,277,42,"Pest, T.",T,71,1,42,80,12,0,37,ARI,9,0.643
40,4,15,70,15,70,14,50,32,1,1,5,"Newman, M.",65,204,20,277,10,"Newman, M.",RB,20,1,73,56,3,0,20,ARI,9,0.643
41,4,1,50,1,65,14,20,55,1,1,5,"Jefferspin, S.",66,204,66,277,41,"Jefferspin, S.",T,66,1,45,72,3,0,35,ARI,9,0.643
42,4,1,50,1,60,5,22,55,1,1,5,"Timlin, S.",67,204,69,277,8,"Timlin, S.",C,66,1,45,74,5,0,35,ARI,9,0.643
43,5,1,45,1,60,14,20,60,1,1,5,"Boyd, M.",65,196,55,249,46,"Boyd, M.",G,70,1,40,75,3,0,35,OCO,9,0.643
44,5,15,70,15,65,14,42,30,1,1,5,"Wright, O.",67,196,22,249,8,"Wright, O.",RB,22,1,85,51,2,0,22,OCO,9,0.643
45,5,1,50,1,60,4,20,55,1,1,5,"Yates, J.",64,196,70,249,7,"Yates, J.",C,61,1,45,71,1,0,35,OCO,9,0.643
46,5,3,51,3,61,14,22,56,3,3,5,"Winchester, A.",71,196,70,249,65,"Winchester, A.",T,70,1,47,83,0,0,37,OCO,9,0.643
47,5,1,50,1,65,14,61,50,1,1,5,"Davidson, J.",63,196,35,249,10,"Davidson, J.",TE,35,1,60,60,1,0,30,OCO,9,0.643
48,5,1,40,1,60,14,20,60,1,1,5,"Hamilton, C.",68,196,70,249,45,"Hamilton, C.",T,70,1,40,70,2,0,35,OCO,9,0.643
49,5,1,40,1,60,14,20,55,1,1,5,"Bigboy5, Z.",62,196,65,249,19,"Bigboy5, Z.",C,65,1,35,65,8,0,35,OCO,9,0.643
50,5,15,61,15,71,14,51,32,1,1,5,"Jenkins, L.",67,196,27,249,20,"Jenkins, L.",RB,27,1,75,75,3,0,22,OCO,9,0.643
51,5,3,42,3,61,14,22,61,3,3,5,"Clegane, G.",71,196,71,249,40,"Clegane, G.",T,71,1,42,80,7,0,37,OCO,9,0.643
52,5,1,51,1,66,14,63,47,1,1,5,"Wright Jr, G.",67,196,63,249,29,"Wright Jr, G.",TE,65,1,53,71,1,0,32,OCO,9,0.643
53,6,1,53,1,65,14,70,45,1,1,10,"Bottles, B.",64,291,42,213,13,"Bottles, B.",TE,42,1,66,44,2,0,25,SJS,4,0.28600000000000003
54,6,15,61,15,70,4,51,40,1,1,10,"Savea, A.",63,291,27,213,1,"Savea, A.",RB,27,1,66,70,0,0,22,SJS,4,0.28600000000000003
55,6,15,74,15,70,14,51,37,1,1,10,"Bowers Jr, V.",71,291,25,213,8,"Bowers Jr, V.",RB,25,1,80,63,3,0,20,SJS,4,0.28600000000000003
56,6,1,50,1,60,14,20,60,1,1,10,"MacManus, C.",66,291,70,213,28,"MacManus, C.",T,60,1,50,65,6,0,35,SJS,4,0.28600000000000003
57,6,1,50,1,60,14,50,60,1,1,10,"Tebow, T.",69,291,68,213,40,"Tebow, T.",C,70,1,50,70,2,0,35,SJS,4,0.28600000000000003
58,6,1,45,1,62,14,20,62,1,1,10,"Robicheaux, D.",69,291,72,213,57,"Robicheaux, D.",T,66,1,46,70,3,0,35,SJS,4,0.28600000000000003
59,6,1,40,1,60,14,20,55,1,1,10,"Bigboy8, Z.",62,291,65,213,36,"Bigboy8, Z.",C,65,1,35,65,9,0,35,SJS,4,0.28600000000000003
60,6,15,70,15,65,14,40,50,1,1,10,"Wiley, D.",64,291,20,213,9,"Wiley, D.",RB,20,1,75,50,0,0,20,SJS,4,0.28600000000000003
61,6,1,50,1,61,14,30,70,1,1,10,"Longshaw, B.",73,291,74,213,34,"Longshaw, B.",G,70,1,50,76,3,0,37,SJS,4,0.28600000000000003
62,1,1,49,1,70,14,24,60,1,1,6,"Blocksdale, A.",71,270,71,268,37,"Blocksdale, A.",T,70,2,39,83,3,0,35,BAL,8,0.5710000000000001
63,1,1,50,1,65,2,70,55,1,1,6,"Piper, W.",64,270,35,268,1,"Piper, W.",TE,35,2,55,52,0,0,30,BAL,8,0.5710000000000001
64,1,15,73,15,71,14,52,34,1,1,6,"Farlane, D.",71,270,24,268,11,"Farlane, D.",RB,24,2,88,50,4,0,20,BAL,8,0.5710000000000001
65,1,1,50,1,65,14,20,55,1,1,6,"Koch, D.",70,270,72,268,53,"Koch, D.",T,62,2,50,80,5,0,35,BAL,8,0.5710000000000001
66,1,1,40,1,60,14,20,60,1,1,6,"Pancake, P.",68,270,50,268,39,"Pancake, P.",G,78,2,40,77,7,0,35,BAL,8,0.5710000000000001
67,1,1,45,1,65,14,71,55,1,1,6,"Sanderson, J.",63,270,30,268,7,"Sanderson, J.",TE,30,2,56,52,0,0,25,BAL,8,0.5710000000000001
68,1,1,45,1,60,3,20,60,1,1,6,"Stone, W.",63,270,70,268,8,"Stone, W.",C,60,2,35,70,1,0,35,BAL,8,0.5710000000000001
69,1,1,50,1,60,14,20,55,1,1,6,"Charles, A.",65,270,70,268,41,"Charles, A.",T,60,2,45,70,5,0,35,BAL,8,0.5710000000000001
70,1,1,50,1,64,14,20,60,1,1,6,"Lee, B.",71,270,50,268,43,"Lee, B.",G,80,2,40,85,4,0,35,BAL,8,0.5710000000000001
71,1,15,70,15,66,14,61,51,1,1,6,"Robinson, M.",71,270,27,268,17,"Robinson, M.",RB,22,2,73,67,1,0,20,BAL,8,0.5710000000000001
72,2,15,57,15,65,2,49,30,1,1,6,"Burnsman, E.",62,295,20,300,1,"Burnsman, E.",RB,20,2,80,50,0,0,20,YKW,8,0.5710000000000001
73,2,3,70,3,71,14,80,70,3,3,6,"Maddox, R.",87,295,50,300,33,"Maddox, R.",TE,52,2,72,80,0,0,36,YKW,8,0.5710000000000001
74,2,15,58,15,70,14,52,35,1,1,6,"Kennedy, E.",66,295,37,300,10,"Kennedy, E.",RB,42,2,71,74,2,0,20,YKW,8,0.5710000000000001
75,2,1,40,1,60,14,20,60,1,1,6,"James, M.",72,295,73,300,43,"James, M.",G,75,2,50,71,2,0,35,YKW,8,0.5710000000000001
76,2,1,40,1,60,14,20,55,1,1,6,"Bigboy17, Z.",62,295,65,300,16,"Bigboy17, Z.",C,65,2,35,65,4,0,35,YKW,8,0.5710000000000001
77,2,1,52,1,60,8,20,70,1,1,6,"Jones, J.",67,295,60,300,27,"Jones, J.",G,70,2,35,70,0,0,35,YKW,8,0.5710000000000001
78,2,3,56,3,65,14,26,63,3,3,6,"Floggity, J.",76,295,70,300,55,"Floggity, J.",T,75,2,50,90,3,0,41,YKW,8,0.5710000000000001
79,2,17,72,17,70,14,60,71,3,3,6,"Nuck, B.",76,295,31,300,6,"Nuck, B.",RB,24,2,85,52,2,0,24,YKW,8,0.5710000000000001
80,2,3,56,3,69,14,26,72,3,3,6,"Akselsen, M.",82,295,78,300,72,"Akselsen, M.",T,80,2,55,87,2,0,37,YKW,8,0.5710000000000001
81,2,1,45,1,65,14,70,50,1,1,6,"Kamby, J.",64,295,30,300,2,"Kamby, J.",TE,30,2,60,55,0,0,25,YKW,8,0.5710000000000001
82,2,1,45,1,60,14,22,60,1,1,6,"Smith, T.",69,295,70,300,35,"Smith, T.",G,70,2,35,77,3,0,37,YKW,8,0.5710000000000001
83,3,1,45,1,60,12,20,60,1,1,6,"Sandoval, A.",62,216,72,268,30,"Sandoval, A.",G,55,2,35,73,7,0,35,COL,8,0.5710000000000001
84,3,1,40,1,60,14,20,60,1,1,6,"Forthward, B.",67,216,55,268,26,"Forthward, B.",G,76,2,40,70,5,0,35,COL,8,0.5710000000000001
85,3,1,52,1,70,14,77,50,1,1,6,"Gucci, R.",70,216,34,268,18,"Gucci, R.",TE,30,2,73,50,1,0,25,COL,8,0.5710000000000001
