,teamID,ACC,AGI,ARM,Avg,END,G,HND,INT,Inside 20,KAc,KDi,L,Long,Name,OVR,PA,PBl,PF,Player,Pos,Punts,RBl,S,SPE,STR,T,TCK,Team,W,WPct,Yds
0,1,1.0,35.0,20.0,45.0,66.0,14.0,15.0,61.0,16.0,80.0,80.0,10,67.0,"Harris, S.",74.0,330,1.0,254,"Harris, S.",P,105.0,1.0,1,45.0,25.0,0,25.0,BAL,4,0.28600000000000003,4726.0
1,2,1.0,32.0,20.0,44.1,67.0,14.0,15.0,70.0,11.0,74.0,78.0,6,69.0,"Booter, A.",72.0,225,1.0,256,"Booter, A.",K,98.0,1.0,1,34.0,27.0,0,17.0,YKW,8,0.5710000000000001,4324.0
2,2,1.0,35.0,20.0,36.8,65.0,1.0,15.0,55.0,0.0,75.0,71.0,6,43.0,"Ellis, R.",66.0,225,1.0,256,"Ellis, R.",P,4.0,1.0,1,40.0,20.0,0,15.0,YKW,8,0.5710000000000001,147.0
3,3,1.0,35.0,20.0,45.2,65.0,14.0,15.0,60.0,16.0,75.0,75.0,6,65.0,"Darkapple, J.",69.0,253,1.0,250,"Darkapple, J.",P,111.0,1.0,1,40.0,20.0,0,15.0,COL,8,0.5710000000000001,5016.0
4,4,1.0,30.0,20.0,42.5,70.0,14.0,15.0,60.0,18.0,78.0,65.0,5,63.0,"Nugent, A.",67.0,204,1.0,277,"Nugent, A.",K,119.0,1.0,1,30.0,15.0,0,15.0,ARI,9,0.643,5058.0
5,5,1.0,35.0,20.0,43.1,65.0,8.0,15.0,65.0,8.0,72.0,70.0,5,64.0,"Walsh, B.",68.0,196,1.0,249,"Walsh, B.",K,48.0,1.0,1,40.0,20.0,0,15.0,OCO,9,0.643,2071.0
6,5,1.0,30.0,20.0,43.4,65.0,6.0,15.0,50.0,5.0,66.0,81.0,5,59.0,"Ronaldo, C.",65.0,196,1.0,249,"Ronaldo, C.",P,36.0,1.0,1,30.0,25.0,0,15.0,OCO,9,0.643,1563.0
7,6,1.0,35.0,30.0,43.4,65.0,14.0,15.0,55.0,14.0,71.0,71.0,10,64.0,"Laces, K.",66.0,291,1.0,213,"Laces, K.",K,99.0,1.0,1,50.0,20.0,0,15.0,SJS,4,0.28600000000000003,4293.0
8,1,1.0,30.0,20.0,44.0,68.0,14.0,15.0,67.0,16.0,89.0,81.0,6,67.0,"Turkleton, T.",78.0,270,1.0,268,"Turkleton, T.",K,103.0,1.0,2,30.0,25.0,0,15.0,BAL,8,0.5710000000000001,4529.0
9,2,1.0,32.0,20.0,44.4,71.0,14.0,15.0,72.0,13.0,80.0,82.0,6,65.0,"Booter, A.",77.0,295,1.0,300,"Booter, A.",K,87.0,1.0,2,35.0,27.0,0,17.0,YKW,8,0.5710000000000001,3867.0
10,3,1.0,30.0,20.0,45.2,65.0,14.0,15.0,60.0,19.0,80.0,85.0,6,71.0,"Kicksit, B.",73.0,216,1.0,268,"Kicksit, B.",K,119.0,1.0,2,30.0,25.0,0,15.0,COL,8,0.5710000000000001,5376.0
11,4,1.0,30.0,20.0,46.2,67.0,14.0,15.0,58.0,17.0,81.0,90.0,2,71.0,"Ronaldo, C.",76.0,175,1.0,369,"Ronaldo, C.",P,118.0,1.0,2,30.0,25.0,0,15.0,ARI,12,0.857,5451.0
12,5,1.0,35.0,20.0,45.4,65.0,14.0,15.0,55.0,14.0,75.0,75.0,6,65.0,"Langdon, J.",68.0,219,1.0,271,"Langdon, J.",K,75.0,1.0,2,40.0,20.0,0,15.0,OCO,8,0.5710000000000001,3402.0
13,5,1.0,35.0,20.0,44.3,73.0,3.0,15.0,55.0,4.0,65.0,70.0,6,60.0,"Sims, A.",64.0,219,1.0,271,"Sims, A.",K,22.0,1.0,2,40.0,45.0,0,15.0,OCO,8,0.5710000000000001,974.0
14,6,1.0,30.0,20.0,41.4,70.0,6.0,15.0,60.0,10.0,78.0,65.0,10,55.0,"Nugent, A.",67.0,374,1.0,233,"Nugent, A.",K,56.0,1.0,2,30.0,15.0,0,15.0,SJS,4,0.28600000000000003,2318.0
15,7,1.0,35.0,20.0,46.6,70.0,14.0,15.0,72.0,25.0,85.0,85.0,9,66.0,"Harris, S.",81.0,281,1.0,245,"Harris, S.",K,120.0,1.0,2,50.0,25.0,0,25.0,PHI,5,0.35700000000000004,5586.0
16,8,1.0,36.0,20.0,45.3,67.0,14.0,15.0,71.0,20.0,80.0,77.0,11,63.0,"Blewitt, I.",74.0,335,1.0,211,"Blewitt, I.",K,111.0,1.0,2,37.0,15.0,0,15.0,LV,3,0.214,5027.0
17,1,1.0,30.0,20.0,45.2,70.0,14.0,15.0,74.0,15.0,90.0,90.0,5,70.0,"Turkleton, T.",83.0,270,1.0,317,"Turkleton, T.",K,102.0,1.0,3,30.0,25.0,0,15.0,BAL,9,0.643,4608.0
18,2,1.0,32.0,20.0,47.0,71.0,14.0,15.0,73.0,14.0,82.0,82.0,7,71.0,"Booter, A.",78.0,275,1.0,332,"Booter, A.",K,88.0,1.0,3,35.0,27.0,0,17.0,YKW,7,0.5,4136.0
19,2,1.0,30.0,20.0,44.1,65.0,4.0,15.0,70.0,7.0,76.0,76.0,7,62.0,"Lombardi, J.",71.0,275,1.0,332,"Lombardi, J.",K,25.0,1.0,3,30.0,25.0,0,15.0,YKW,7,0.5,1102.0
20,3,1.0,30.0,20.0,45.5,65.0,14.0,15.0,60.0,23.0,80.0,85.0,11,74.0,"Kicksit, B.",73.0,372,1.0,182,"Kicksit, B.",K,103.0,1.0,3,30.0,25.0,0,15.0,COL,3,0.214,4682.0
21,4,1.0,30.0,20.0,48.6,69.0,14.0,15.0,60.0,20.0,83.0,99.0,1,81.0,"Ronaldo, C.",81.0,166,1.0,427,"Ronaldo, C.",P,104.0,1.0,3,30.0,25.0,0,15.0,ARI,13,0.929,5050.0
22,5,1.0,35.0,20.0,41.6,73.0,14.0,15.0,55.0,13.0,70.0,79.0,6,67.0,"Sims, A.",69.0,288,1.0,406,"Sims, A.",K,88.0,1.0,3,40.0,45.0,0,15.0,OCO,8,0.5710000000000001,3661.0
23,6,1.0,36.0,20.0,46.7,70.0,14.0,15.0,75.0,20.0,84.0,86.0,8,66.0,"Blewitt, I.",80.0,338,1.0,292,"Blewitt, I.",K,120.0,1.0,3,37.0,15.0,1,15.0,SJS,5,0.39299999999999996,5608.0
24,7,1.0,35.0,20.0,44.8,70.0,14.0,15.0,72.0,11.0,90.0,87.0,5,65.0,"Harris, S.",84.0,328,1.0,326,"Harris, S.",K,99.0,1.0,3,50.0,25.0,1,25.0,PHI,8,0.607,4431.0
25,8,1.0,35.0,20.0,42.5,65.0,14.0,15.0,65.0,18.0,72.0,70.0,12,60.0,"Walsh, B.",67.0,444,1.0,199,"Walsh, B.",P,111.0,1.0,3,40.0,20.0,0,15.0,LV,2,0.14300000000000002,4720.0
26,1,1.0,30.0,20.0,48.7,71.0,14.0,15.0,75.0,13.0,90.0,96.0,7,76.0,"Turkleton, T.",85.0,324,1.0,315,"Turkleton, T.",K,95.0,1.0,4,30.0,25.0,0,15.0,BAL,7,0.5,4630.0
27,2,1.0,30.0,20.0,43.4,65.0,14.0,15.0,70.0,13.0,79.0,79.0,6,67.0,"Lombardi, J.",73.0,279,1.0,361,"Lombardi, J.",K,103.0,1.0,4,30.0,25.0,0,15.0,YKW,8,0.5710000000000001,4471.0
